City,State,County
East St. Louis,Illinois,St. Clair
Queens,New York,Queens
Flour Bluff,Texas,Nueces
East Palo Alto,California,San Mateo
Skyway,Washington,King
Centreville,Illinois,St. Clair
Manhattan,New York,New York
Seat Pleasant,Maryland,Prince George's
Lookout Valley,Tennessee,Hamilton
Allapattah,Florida,Miami-Dade
Springdale,Maryland,Prince George's
Kinloch,Missouri,Saint Louis
Gates,New York,Monroe
Tyrone,Missouri,Texas
Plantation,Florida,Broward
McCool,Mississippi,Attala
Brandon,Alabama,Shelby
Brownsville,Florida,Santa Rosa
McColl,South Carolina,Marlboro
McCormick,South Carolina,McCormick
McKees Rocks,Pennsylvania,Allegheny
Washington Park,Illinois,St. Clair
McGregor,Texas,McLennan
Cowley,Kansas,Cowley
Willowbrook,California,Los Angeles
Goshen,California,Tulare
