County,Incident ID,# Killed,# Injured
Abbeville,1429338,3,1
Acadia,1832977,0,5
Accomack,224362,0,4
Ada,2150274,3,3
Adair,2201052,3,1
Adams,27763191,13,60
Aiken,4195267,6,14
Alachua,10217082,2,26
Alamance,2066680,0,4
Alameda,58054816,20,170
Albany,18482624,9,48
Albemarle,2459150,3,2
Allegheny,34761375,36,111
Allen,13123359,14,45
Allendale,2320030,1,8
Amherst,2257674,1,4
Anchorage,5703228,2,18
Anderson,5341481,14,11
Anne Arundel,2979021,6,3
Anson,1427489,3,5
Ascension,3104908,5,5
Assumption,2354757,0,5
Atlantic,5464290,4,15
Attala,1009629,0,4
Autauga,3136076,4,4
Avoyelles,1556984,2,2
Baker,1078612,0,4
Baldwin,2719424,1,8
Baltimore,137169328,64,357
Bamberg,436219,0,4
Barnwell,1725735,0,5
Barton,1517360,0,4
Bartow,173628,2,3
Bastrop,610379,4,1
Bay,1677781,1,10
Beaufort,1776905,0,4
Beaver,2060706,2,3
Bell,5001066,11,27
Benton,1459201,1,3
Berkeley,3279875,1,13
Berks,6485469,11,10
Berkshire,368987,1,4
Bernalillo,14141620,15,42
Berrien,5656182,6,15
Bexar,51108404,28,124
Bibb,15494986,16,26
Big Horn,906509,3,2
Black Hawk,1806002,2,6
Bladen,1627335,3,1
Blount,543441,1,4
Bolivar,5118823,4,9
Bon Homme,2163617,3,2
Boone,6502995,3,16
Boulder,1958652,10,1
Bowie,2155001,1,9
Brazoria,3113971,4,5
Brazos,4556950,1,9
Brevard,5677776,6,6
Bristol,533041,1,10
Bronx,42847651,10,106
Broward,24490585,35,78
Brunswick,886564,0,7
Buchanan,4169724,0,9
Bucks,1867006,1,3
Bullock,1022067,1,5
Buncombe,3488094,4,7
Burke,5074038,1,12
Burlington,1462120,0,8
Butler,5294745,8,12
Butte,4631182,1,9
Butts,1249942,5,3
Cabarrus,1137737,0,4
Cabell,3687168,2,9
Caddo,33529032,9,108
Calcasieu,11914471,2,32
Calhoun,6644859,6,19
Callaway,1852853,0,4
Cambria,447462,0,4
Camden,4849910,3,13
Cameron,2896944,0,9
Canyon,1625553,2,3
Cape Girardeau,4145479,0,10
Carter,97407,2,4
Cascade,1573754,4,1
Catawba,1901030,4,4
Cecil,2410446,5,0
Cedar,2379020,4,0
Centre,1310775,4,1
Chambers,9517415,8,35
Champaign,9688669,4,22
Charles,4291910,6,3
Charles Mix,418318,6,0
Charleston,32313202,17,96
Charlotte,1148678,0,4
Chatham,10947305,14,35
Chaves,2272432,8,5
Chemung,615109,0,5
Cherokee,3822900,8,5
Chesapeake,6415688,16,17
Chester,2247622,2,3
Chesterfield,2320361,1,5
Chippewa,1461352,5,2
Clackamas,1890946,0,4
Claiborne,4926250,4,9
Clare,2147042,4,0
Clarendon,2321593,1,7
Clark,53286996,92,590
Clarke,5310455,1,16
Clayton,4788989,6,10
Clermont,2534995,4,1
Cleveland,3974078,1,7
Coahoma,2089557,2,2
Cobb,3666087,9,11
Coconino,427621,1,3
Coffee,4142535,4,10
Cole,1843360,0,4
Colleton,5647294,6,14
Collier,2139048,1,5
Collin,4722025,16,8
Colquitt,977132,5,4
Columbia,9343825,6,17
Columbiana,194945,0,4
Columbus,3551358,6,2
Conejos,752249,3,1
Contra Costa,12856101,14,39
Cook,495171666,226,1452
Copiah,1121111,1,7
Covington,144565,1,4
Cowley,2294515,0,4
Cowlitz,604207,3,1
Craighead,2266855,6,13
Craven,4696259,5,9
Crisp,2443287,0,4
Crittenden,2408044,0,9
Crockett,290510,0,6
Culpeper,168844,5,0
Cumberland,15558554,17,46
Curry,922184,2,4
Cuyahoga,66423102,45,206
Dale,2990526,0,9
Dallas,60735227,47,175
Dane,4241644,1,12
Darlington,3677734,3,7
Dauphin,2423747,0,4
Davidson,35609796,25,88
Daviess,1303486,3,1
DeKalb,8820136,11,30
DeSoto,708777,0,4
Delaware,9218641,6,31
Denton,1116705,5,1
Deschutes,2400434,3,2
Desha,2257739,1,26
Dillon,2201876,0,5
District of Columbia,103534167,38,307
Dorchester,3895765,1,7
Dougherty,9234558,4,21
Douglas,25421371,34,94
Doña Ana,2227187,1,3
DuPage,1921768,1,5
Dunklin,1934704,1,4
Duplin,4109920,2,6
Durham,20130839,10,42
Dutchess,2154283,0,5
Duval,29218147,31,101
Dyer,2402438,1,12
Early,2340458,1,6
East Baton Rouge,35351644,19,99
Ector,1492441,8,23
Edgecombe,1710920,2,2
El Paso,41506095,54,120
Elkhart,2740168,2,7
Elmore,1684127,5,4
Emanuel,5697575,2,10
Erie,35979382,27,105
Escambia,8899022,6,31
Essex,46036776,27,130
Fairfax,2594482,1,10
Fairfield,9914529,5,47
Faulkner,1722317,0,4
Fayette,17628648,13,48
Florence,6556620,6,22
Floyd,2664952,4,8
Forrest,3473338,2,9
Forsyth,14350481,5,36
Franklin,50217472,26,113
Frederick,3689475,1,8
Fresno,25249928,15,78
Fulton,82341449,36,247
Gadsden,1968553,0,7
Galveston,3635094,10,17
Garland,2952147,2,8
Gaston,3934103,3,14
Genesee,15930518,8,51
Georgetown,4836321,2,7
