Incident ID,Incident Date,State,State Code,County,City,City Or County,Address,# Killed,# Injured
271363,29-12-2014,Louisiana,LA,Orleans,New Orleans,New Orleans,Poydras and Bolivar,0,4
191416,15-09-2014,Louisiana,LA,Orleans,New Orleans,New Orleans,Chef Menteur Highway and Dale Street,0,5
175767,13-08-2014,Louisiana,LA,Orleans,New Orleans,New Orleans,New Orleans and North Rocheblave streets,0,4
172304,10-08-2014,Louisiana,LA,Orleans,New Orleans,New Orleans,5400 block of Burgundy St,2,5
152468,29-06-2014,Louisiana,LA,Orleans,New Orleans,New Orleans,700 block of Bourbon St,1,9
140185,23-05-2014,Louisiana,LA,Orleans,New Orleans,New Orleans,6200 block of Eads Street,1,7
125028,12-04-2014,Louisiana,LA,Orleans,New Orleans,New Orleans,2100 block of Pauger Street,1,3
123008,07-04-2014,Louisiana,LA,Orleans,New Orleans,New Orleans,500 block of South Alexander Street,0,4
105010,06-02-2014,Louisiana,LA,Orleans,New Orleans,New Orleans,4600 block of Downman Road,0,4
476321,31-12-2015,Louisiana,LA,Orleans,New Orleans,New Orleans,1900 block of Amelia Street,0,6
451495,22-11-2015,Louisiana,LA,Orleans,New Orleans,New Orleans,1900 block of Gallier St,0,17
432711,18-10-2015,Louisiana,LA,Orleans,New Orleans,New Orleans,2600 block of Caffin Avenue,0,4
402108,25-08-2015,Louisiana,LA,Orleans,New Orleans,New Orleans,Fern Street and Olive Street,1,3
382170,26-07-2015,Louisiana,LA,Orleans,New Orleans,New Orleans,Piety and Treasure street,0,4
364210,25-06-2015,Louisiana,LA,Orleans,New Orleans,New Orleans,2588 Martin Luther King Jr Blvd,0,4
352779,05-06-2015,Louisiana,LA,Orleans,New Orleans,New Orleans,2100 block of Governor Nicholls Street,1,3
346725,26-05-2015,Louisiana,LA,Orleans,New Orleans,New Orleans,6700 block of Tara Lane,2,2
711597,27-11-2016,Louisiana,LA,Orleans,New Orleans,New Orleans,100 block of Bourbon Street,1,9
710467,25-11-2016,Louisiana,LA,Orleans,New Orleans,New Orleans,Magnolia St and Felicity St,0,4
669777,04-10-2016,Louisiana,LA,Orleans,New Orleans,New Orleans,3727 Ulloa Street,3,2
653077,11-09-2016,Louisiana,LA,Orleans,New Orleans,New Orleans,2349 S Claiborne Ave,1,5
