Incident ID,Incident Date,City,City Or County
271363,29-12-2014,New Orleans,New Orleans
191416,15-09-2014,New Orleans,New Orleans
175767,13-08-2014,New Orleans,New Orleans
172304,10-08-2014,New Orleans,New Orleans
152468,29-06-2014,New Orleans,New Orleans
140185,23-05-2014,New Orleans,New Orleans
125028,12-04-2014,New Orleans,New Orleans
123008,07-04-2014,New Orleans,New Orleans
105010,06-02-2014,New Orleans,New Orleans
476321,31-12-2015,New Orleans,New Orleans
451495,22-11-2015,New Orleans,New Orleans
432711,18-10-2015,New Orleans,New Orleans
402108,25-08-2015,New Orleans,New Orleans
382170,26-07-2015,New Orleans,New Orleans
364210,25-06-2015,New Orleans,New Orleans
352779,05-06-2015,New Orleans,New Orleans
346725,26-05-2015,New Orleans,New Orleans
711597,27-11-2016,New Orleans,New Orleans
710467,25-11-2016,New Orleans,New Orleans
669777,04-10-2016,New Orleans,New Orleans
653077,11-09-2016,New Orleans,New Orleans
563829,22-05-2016,New Orleans,New Orleans
986092,11-11-2017,New Orleans,New Orleans
944448,28-09-2017,New Orleans,New Orleans
930266,10-09-2017,New Orleans,New Orleans
863075,08-06-2017,New Orleans,New Orleans
858719,03-06-2017,New Orleans,New Orleans
772067,10-02-2017,New Orleans,New Orleans
1174190,28-07-2018,New Orleans,New Orleans
1172333,25-07-2018,New Orleans,New Orleans
1105061,01-05-2018,New Orleans,New Orleans
1097700,22-04-2018,New Orleans,New Orleans
1084847,04-04-2018,New Orleans,New Orleans
1049024,13-02-2018,New Orleans,New Orleans
1579266,24-12-2019,New Orleans,New Orleans
1567231,08-12-2019,New Orleans,New Orleans
1561966,01-12-2019,New Orleans,New Orleans
1561734,01-12-2019,New Orleans,New Orleans
1509411,21-09-2019,New Orleans,New Orleans
1508859,20-09-2019,New Orleans,New Orleans
1393960,13-05-2019,New Orleans,New Orleans
1329075,17-02-2019,New Orleans,New Orleans
1864177,28-11-2020,New Orleans,New Orleans
1859186,22-11-2020,New Orleans,New Orleans
1845477,06-11-2020,New Orleans,New Orleans
1828796,19-10-2020,New Orleans,New Orleans
1791482,10-09-2020,New Orleans,New Orleans
1788168,07-09-2020,New Orleans,New Orleans
1705346,14-06-2020,New Orleans,New Orleans
1622340,15-02-2020,New Orleans,New Orleans
2135666,07-10-2021,New Orleans,New Orleans
2134359,06-10-2021,New Orleans,New Orleans
2085542,08-08-2021,New Orleans,New Orleans
2079920,01-08-2021,New Orleans,New Orleans
2079913,01-08-2021,New Orleans,New Orleans
2026257,05-06-2021,New Orleans,New Orleans
1992534,01-05-2021,New Orleans,New Orleans
1985432,24-04-2021,New Orleans,New Orleans
1955948,18-03-2021,New Orleans,New Orleans
1894822,04-01-2021,New Orleans,New Orleans
2488209,26-12-2022,New Orleans,New Orleans
2477404,08-12-2022,New Orleans,New Orleans
2468894,27-11-2022,New Orleans,New Orleans
2442632,21-10-2022,New Orleans,New Orleans
2369720,25-07-2022,New Orleans,New Orleans
2328117,12-06-2022,New Orleans,New Orleans
2307813,20-05-2022,New Orleans,New Orleans
2296037,06-05-2022,New Orleans,New Orleans
2290903,29-04-2022,New Orleans,New Orleans
2215256,19-01-2022,New Orleans,New Orleans
2566449,07-04-2023,New Orleans,New Orleans
2529243,19-02-2023,New Orleans,New Orleans
2521112,08-02-2023,New Orleans,New Orleans
2496431,05-01-2023,New Orleans,New Orleans
2494425,03-01-2023,New Orleans,New Orleans
269679,27-12-2014,Los Angeles,Los Angeles
218054,07-11-2014,Los Angeles,Los Angeles
