Incident ID,Incident Date,# Injured
271363,29-12-2014,4
191416,15-09-2014,5
175767,13-08-2014,4
172304,10-08-2014,5
152468,29-06-2014,9
140185,23-05-2014,7
125028,12-04-2014,3
123008,07-04-2014,4
105010,06-02-2014,4
476321,31-12-2015,6
451495,22-11-2015,17
432711,18-10-2015,4
402108,25-08-2015,3
382170,26-07-2015,4
364210,25-06-2015,4
352779,05-06-2015,3
346725,26-05-2015,2
711597,27-11-2016,9
710467,25-11-2016,4
669777,04-10-2016,2
653077,11-09-2016,5
563829,22-05-2016,4
986092,11-11-2017,5
944448,28-09-2017,3
930266,10-09-2017,3
863075,08-06-2017,6
858719,03-06-2017,2
772067,10-02-2017,5
1174190,28-07-2018,7
1172333,25-07-2018,4
1105061,01-05-2018,5
1097700,22-04-2018,4
1084847,04-04-2018,2
1049024,13-02-2018,3
1579266,24-12-2019,4
1567231,08-12-2019,4
1561966,01-12-2019,2
1561734,01-12-2019,12
1509411,21-09-2019,4
1508859,20-09-2019,5
1393960,13-05-2019,4
1329075,17-02-2019,5
1864177,28-11-2020,4
1859186,22-11-2020,3
1845477,06-11-2020,2
1828796,19-10-2020,3
1791482,10-09-2020,2
1788168,07-09-2020,4
1705346,14-06-2020,2
1622340,15-02-2020,4
2135666,07-10-2021,4
2134359,06-10-2021,2
2085542,08-08-2021,5
2079920,01-08-2021,3
2079913,01-08-2021,5
2026257,05-06-2021,9
1992534,01-05-2021,4
1985432,24-04-2021,5
1955948,18-03-2021,4
1894822,04-01-2021,4
2488209,26-12-2022,4
2477404,08-12-2022,4
2468894,27-11-2022,5
2442632,21-10-2022,3
2369720,25-07-2022,4
2328117,12-06-2022,4
2307813,20-05-2022,3
2296037,06-05-2022,4
2290903,29-04-2022,6
2215256,19-01-2022,4
2566449,07-04-2023,4
2529243,19-02-2023,4
2521112,08-02-2023,4
2496431,05-01-2023,3
2494425,03-01-2023,5
269679,27-12-2014,3
218054,07-11-2014,4
185430,03-09-2014,6
152693,29-06-2014,5
149706,13-06-2014,1
173109,22-04-2014,3
96792,14-01-2014,4
464665,13-12-2015,3
395694,15-08-2015,4
355644,10-06-2015,3
717873,03-12-2016,6
689009,29-10-2016,5
676663,15-10-2016,11
629663,13-08-2016,4
624156,07-08-2016,3
595557,05-07-2016,4
591975,28-06-2016,3
537820,10-04-2016,4
501267,06-02-2016,3
491312,23-01-2016,2
894504,19-07-2017,3
858877,02-06-2017,3
1244424,30-10-2018,5
1174527,28-07-2018,4
1156528,05-07-2018,3
1114725,13-05-2018,2
1037541,27-01-2018,5
1556633,24-11-2019,6
1555879,23-11-2019,4
1485548,22-08-2019,4
1439737,04-07-2019,4
1395560,14-05-2019,4
1381734,27-04-2019,6
1369109,11-04-2019,4
1812972,02-10-2020,4
1689555,26-05-2020,5
1652734,05-04-2020,3
2201216,31-12-2021,6
2124887,24-09-2021,4
2101199,27-08-2021,4
2094035,18-08-2021,4
2058421,09-07-2021,4
1999909,09-05-2021,3
2414858,14-09-2022,4
2410269,08-09-2022,4
2399839,28-08-2022,6
2366273,21-07-2022,5
2328374,12-06-2022,4
2207931,09-01-2022,4
2539082,04-03-2023,4
2516494,01-02-2023,5
270036,27-12-2014,4
158387,13-07-2014,4
141792,01-06-2014,4
156823,10-05-2014,6
455684,27-11-2015,2
295871,20-02-2015,4
724667,12-12-2016,3
699033,12-11-2016,5
672217,09-10-2016,3
626960,10-08-2016,3
568745,30-05-2016,5
921733,27-08-2017,4
912322,13-08-2017,4
832290,29-04-2017,5
787801,04-03-2017,4
1398876,17-05-2019,3
1839628,31-10-2020,4
1813583,03-10-2020,3
1773194,24-08-2020,3
1702372,10-06-2020,4
1698868,06-06-2020,4
2154873,30-10-2021,5
2065634,16-07-2021,4
2458933,12-11-2022,4
2348230,04-07-2022,4
2281164,17-04-2022,3
2269082,03-04-2022,12
2243861,28-02-2022,0
2539814,06-03-2023,1
269167,26-12-2014,3
268598,24-12-2014,3
227011,02-12-2014,5
197287,27-09-2014,5
168786,03-08-2014,5
165089,27-07-2014,5
155412,06-07-2014,4
153648,29-06-2014,4
389149,04-08-2015,4
382230,22-07-2015,6
374292,14-07-2015,4
357611,14-06-2015,4
355267,09-06-2015,3
346179,24-05-2015,4
491864,07-03-2015,4
640689,28-08-2016,2
617712,30-07-2016,5
602765,13-07-2016,2
920513,24-08-2017,0
912093,12-08-2017,3
875886,25-06-2017,3
870095,18-06-2017,2
858810,03-06-2017,2
857443,01-06-2017,1
802240,24-03-2017,6
1260525,21-11-2018,4
1232018,13-10-2018,4
1194057,22-08-2018,4
1184992,10-08-2018,4
1155567,03-07-2018,5
1113737,11-05-2018,4
1111950,09-05-2018,4
1100852,25-04-2018,1
1040815,31-01-2018,4
1520547,05-10-2019,5
1517804,01-10-2019,4
1504030,14-09-2019,3
1486675,23-08-2019,3
1472641,07-08-2019,1
1441613,07-07-2019,5
1441721,06-07-2019,0
1407941,27-05-2019,2
1394330,13-05-2019,1
1392313,10-05-2019,6
1386510,04-05-2019,4
1806368,26-09-2020,5
1786890,06-09-2020,3
1754640,04-08-2020,3
1749746,29-07-2020,2
1704116,13-06-2020,4
