Incident ID,Incident Date,# Killed
271363,29-12-2014,0
191416,15-09-2014,0
175767,13-08-2014,0
172304,10-08-2014,2
152468,29-06-2014,1
140185,23-05-2014,1
125028,12-04-2014,1
123008,07-04-2014,0
105010,06-02-2014,0
476321,31-12-2015,0
451495,22-11-2015,0
432711,18-10-2015,0
402108,25-08-2015,1
382170,26-07-2015,0
364210,25-06-2015,0
352779,05-06-2015,1
346725,26-05-2015,2
711597,27-11-2016,1
710467,25-11-2016,0
669777,04-10-2016,3
653077,11-09-2016,1
563829,22-05-2016,0
986092,11-11-2017,1
944448,28-09-2017,1
930266,10-09-2017,1
863075,08-06-2017,0
858719,03-06-2017,3
772067,10-02-2017,1
1174190,28-07-2018,3
1172333,25-07-2018,0
1105061,01-05-2018,0
1097700,22-04-2018,2
1084847,04-04-2018,2
1049024,13-02-2018,2
1579266,24-12-2019,0
1567231,08-12-2019,1
1561966,01-12-2019,2
1561734,01-12-2019,0
1509411,21-09-2019,0
1508859,20-09-2019,1
1393960,13-05-2019,0
1329075,17-02-2019,1
1864177,28-11-2020,0
1859186,22-11-2020,1
1845477,06-11-2020,2
1828796,19-10-2020,1
1791482,10-09-2020,3
1788168,07-09-2020,0
1705346,14-06-2020,2
1622340,15-02-2020,0
2135666,07-10-2021,1
2134359,06-10-2021,2
2085542,08-08-2021,0
2079920,01-08-2021,1
2079913,01-08-2021,0
2026257,05-06-2021,0
1992534,01-05-2021,2
1985432,24-04-2021,0
1955948,18-03-2021,0
1894822,04-01-2021,0
2488209,26-12-2022,2
2477404,08-12-2022,0
2468894,27-11-2022,0
2442632,21-10-2022,1
2369720,25-07-2022,0
2328117,12-06-2022,0
2307813,20-05-2022,1
2296037,06-05-2022,2
2290903,29-04-2022,0
2215256,19-01-2022,0
2566449,07-04-2023,0
2529243,19-02-2023,1
2521112,08-02-2023,2
2496431,05-01-2023,2
2494425,03-01-2023,0
269679,27-12-2014,1
218054,07-11-2014,0
185430,03-09-2014,0
152693,29-06-2014,1
149706,13-06-2014,3
173109,22-04-2014,1
96792,14-01-2014,0
464665,13-12-2015,1
395694,15-08-2015,0
355644,10-06-2015,1
717873,03-12-2016,0
689009,29-10-2016,0
676663,15-10-2016,4
629663,13-08-2016,0
624156,07-08-2016,1
595557,05-07-2016,0
591975,28-06-2016,1
537820,10-04-2016,0
501267,06-02-2016,1
491312,23-01-2016,2
894504,19-07-2017,1
858877,02-06-2017,1
1244424,30-10-2018,0
1174527,28-07-2018,2
1156528,05-07-2018,3
1114725,13-05-2018,2
1037541,27-01-2018,0
1556633,24-11-2019,0
1555879,23-11-2019,0
1485548,22-08-2019,0
1439737,04-07-2019,0
1395560,14-05-2019,0
1381734,27-04-2019,0
1369109,11-04-2019,1
1812972,02-10-2020,0
1689555,26-05-2020,0
1652734,05-04-2020,1
2201216,31-12-2021,0
2124887,24-09-2021,0
2101199,27-08-2021,0
2094035,18-08-2021,0
2058421,09-07-2021,0
1999909,09-05-2021,1
2414858,14-09-2022,0
2410269,08-09-2022,0
2399839,28-08-2022,0
2366273,21-07-2022,0
2328374,12-06-2022,3
2207931,09-01-2022,2
2539082,04-03-2023,0
2516494,01-02-2023,0
270036,27-12-2014,0
158387,13-07-2014,1
141792,01-06-2014,0
156823,10-05-2014,1
455684,27-11-2015,2
295871,20-02-2015,0
724667,12-12-2016,1
699033,12-11-2016,1
672217,09-10-2016,1
626960,10-08-2016,1
568745,30-05-2016,0
921733,27-08-2017,1
912322,13-08-2017,0
832290,29-04-2017,0
787801,04-03-2017,0
1398876,17-05-2019,1
1839628,31-10-2020,0
1813583,03-10-2020,1
1773194,24-08-2020,1
1702372,10-06-2020,1
1698868,06-06-2020,1
2154873,30-10-2021,2
2065634,16-07-2021,2
2458933,12-11-2022,0
2348230,04-07-2022,1
2281164,17-04-2022,1
2269082,03-04-2022,6
2243861,28-02-2022,5
2539814,06-03-2023,3
269167,26-12-2014,1
268598,24-12-2014,1
227011,02-12-2014,1
197287,27-09-2014,0
168786,03-08-2014,0
165089,27-07-2014,0
155412,06-07-2014,0
153648,29-06-2014,0
389149,04-08-2015,1
382230,22-07-2015,0
374292,14-07-2015,0
357611,14-06-2015,0
355267,09-06-2015,1
346179,24-05-2015,0
491864,07-03-2015,0
640689,28-08-2016,2
617712,30-07-2016,0
602765,13-07-2016,2
920513,24-08-2017,4
912093,12-08-2017,1
875886,25-06-2017,1
870095,18-06-2017,3
858810,03-06-2017,2
857443,01-06-2017,3
802240,24-03-2017,1
1260525,21-11-2018,0
1232018,13-10-2018,0
1194057,22-08-2018,0
1184992,10-08-2018,0
1155567,03-07-2018,1
1113737,11-05-2018,0
1111950,09-05-2018,0
1100852,25-04-2018,3
1040815,31-01-2018,0
1520547,05-10-2019,0
1517804,01-10-2019,0
1504030,14-09-2019,1
1486675,23-08-2019,1
1472641,07-08-2019,3
1441613,07-07-2019,0
1441721,06-07-2019,5
1407941,27-05-2019,2
1394330,13-05-2019,4
1392313,10-05-2019,0
1386510,04-05-2019,1
1806368,26-09-2020,0
1786890,06-09-2020,1
1754640,04-08-2020,1
1749746,29-07-2020,3
1704116,13-06-2020,2
1694735,01-06-2020,0
1687219,24-05-2020,0
1676121,09-05-2020,0
1642826,20-03-2020,0
1585894,01-01-2020,3
2143113,17-10-2021,1
2121031,20-09-2021,1
2111895,08-09-2021,0
2041726,21-06-2021,3
2026802,06-06-2021,0
2021398,31-05-2021,0
