Incident ID,Incident Date,State,County,Address
271363,29-12-2014,Louisiana,Orleans,Poydras and Bolivar
191416,15-09-2014,Louisiana,Orleans,Chef Menteur Highway and Dale Street
175767,13-08-2014,Louisiana,Orleans,New Orleans and North Rocheblave streets
172304,10-08-2014,Louisiana,Orleans,5400 block of Burgundy St
152468,29-06-2014,Louisiana,Orleans,700 block of Bourbon St
140185,23-05-2014,Louisiana,Orleans,6200 block of Eads Street
125028,12-04-2014,Louisiana,Orleans,2100 block of Pauger Street
123008,07-04-2014,Louisiana,Orleans,500 block of South Alexander Street
105010,06-02-2014,Louisiana,Orleans,4600 block of Downman Road
476321,31-12-2015,Louisiana,Orleans,1900 block of Amelia Street
451495,22-11-2015,Louisiana,Orleans,1900 block of Gallier St
432711,18-10-2015,Louisiana,Orleans,2600 block of Caffin Avenue
402108,25-08-2015,Louisiana,Orleans,Fern Street and Olive Street
382170,26-07-2015,Louisiana,Orleans,Piety and Treasure street
364210,25-06-2015,Louisiana,Orleans,2588 Martin Luther King Jr Blvd
352779,05-06-2015,Louisiana,Orleans,2100 block of Governor Nicholls Street
346725,26-05-2015,Louisiana,Orleans,6700 block of Tara Lane
711597,27-11-2016,Louisiana,Orleans,100 block of Bourbon Street
710467,25-11-2016,Louisiana,Orleans,Magnolia St and Felicity St
669777,04-10-2016,Louisiana,Orleans,3727 Ulloa Street
653077,11-09-2016,Louisiana,Orleans,2349 S Claiborne Ave
563829,22-05-2016,Louisiana,Orleans,8639 Apple St
986092,11-11-2017,Louisiana,Orleans,Forstall St and Burgundy St
944448,28-09-2017,Louisiana,Orleans,2001 N Rocheblave St
930266,10-09-2017,Louisiana,Orleans,2101 N Claiborne Ave
863075,08-06-2017,Louisiana,Orleans,3650 Franklin Ave
858719,03-06-2017,Louisiana,Orleans,3717 Tulane Ave
772067,10-02-2017,Louisiana,Orleans,2nd St and Dryades St
1174190,28-07-2018,Louisiana,Orleans,3400 S Claiborne Ave
1172333,25-07-2018,Louisiana,Orleans,7000 block of Bullard Ave
