State,State Code
Louisiana,LA
California,CA
Illinois,IL
Missouri,MO
Kentucky,KY
Michigan,MI
New York,NY
Florida,FL
Mississippi,MS
New Jersey,NJ
Pennsylvania,PA
Oregon,OR
Indiana,IN
Virginia,VA
Tennessee,TN
Georgia,GA
Texas,TX
Colorado,CO
Ohio,OH
South Dakota,SD
Nevada,NV
Washington,WA
South Carolina,SC
Alaska,AK
Massachusetts,MA
Utah,UT
District of Columbia,DC
Minnesota,MN
New Mexico,NM
Wisconsin,WI
North Carolina,NC
Arkansas,AR
Maine,ME
Connecticut,CT
Rhode Island,RI
Maryland,MD
Alabama,AL
Oklahoma,OK
Arizona,AZ
Nebraska,NE
Iowa,IA
Vermont,VT
Delaware,DE
Montana,MT
Kansas,KS
West Virginia,WV
Wyoming,WY
Idaho,ID
New Hampshire,NH
Hawaii,HI
